Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),10 Chinese_Traditional (중국어-번체),11 Chinese_Simplified (중국어-간체)
AnimTimelineAddFailed_Body,29,Timeline can not be added due to an error. Try again.,에러가 발생하여 타임라인을 생성할 수 없습니다. 다시 시도하세요.,,,,,,,,
AnimTimelineLayerAddFailed_Title,30,Failed to Add Timeline Layer,타임라인 레이어 추가 실패,,,,,,,,
AnimTimelineLayerAddFailed_Body,31,Timeline Layer can not be added due to an error. Try again.,에러가 발생하여 타임라인 레이어를 생성할 수 없습니다. 다시 시도하세요.,,,,,,,,
AnimKeyframeAddFailed_Title,32,Failed to Add Keyframe,키프레임 추가 실패,,,,,,,,
AnimKeyframeAddFailed_Body_Already,33,A keyframe is already created in the selected frame.,이미 선택된 프레임에 키프레임이 생성되어 있습니다.,,,,,,,,
AnimKeyframeAddFailed_Body_Error,34,Keyframe can not be added due to an error. Try again.,에러가 발생하여 키프레임을 생성할 수 없습니다. 다시 시도하세요.,,,,,,,,
MeshGroupAddFailed_Title,35,Fail to add Mesh Group,메시 그룹 추가 실패,,,,,,,,
MeshGroupAddFailed_Body,36,Mesh Group can not be added due to an error. Try again.,에러가 발생하여 메시 그룹을 추가할 수 없습니다. 다시 시도하세요.,,,,,,,,
BoneAddFailed_Title,37,Fail to add Bone,본 추가 실패,,,,,,,,
BoneAddFailed_Body,38,Bone can not be added due to an error. Try again.,에러가 발생하여 본을 추가할 수 없습니다. 다시 시도하세요.,,,,,,,,
MeshAttachFailed_Title,39,Fail to add Mesh to Mesh Group,메시 그룹에 메시 추가하기 실패,,,,,,,,
MeshAttachFailed_Body,40,Mesh can not be added to the MeshGroup due to an error. Please try again.,에러가 발생하여 메시를 메시 그룹에 추가할 수 없습니다. 다시 시도하세요.,,,,,,,,
MeshGroupAttachFailed_Title,41,Fail to add Mesh Group to other Mesh Group,메시 그룹에 다른 메시 그룹 추가하기 실패,,,,,,,,
MeshGroupAttachFailed_Body,42,Mesh Group can not be added to other MeshGroup due to an error. Please try again.,에러가 발생하여 메시 그룹을 다른 메시 그룹에 추가할 수 없습니다. 다시 시도하세요.,,,,,,,,
ModifierAddFailed_Title,43,Fail to add Modifier,모디파이어 추가 실패,,,,,,,,
ModifierAddFailed_Body,44,Modifier can not be added to Mesh Group. Please try again.,모디파이어를 메시 그룹에 추가할 수 없습니다. 다시 시도하세요.,,,,,,,,
ControlParamNameError_Title,45,Invalid Parameter Name Error,잘못된 컨트롤 파라미터 이름 문제,,,,,,,,
ControlParamNameError_Body_Wrong,46,Control Parameter names must not be empty.,컨트롤 파라미터 이름은 비어있으면 안됩니다.,,,,,,,,
ControlParamNameError_Body_Used,47,The Control Parameter name is already being used.,컨트롤 파라미터 이름이 이미 사용 중입니다.,,,,,,,,
IKOption_Title,48,IK setting warning,IK 설정 안내,,,,,,,,
IKOption_Body_Chained,49,<IK Chained> is forced. To change it[c] edit the <IK Header>.,<IK Chained>는 강제로 지정됩니다. 바꾸기 위해서는 <IK Header>를 수정하세요.,,,,,,,,
IKOption_Body_Head,50,<IK Head> requires one or more child Bones.,<IK Head>는 1개 이상의 자식 본을 필요로 합니다.,,,,,,,,
IKOption_Body_Single,51,<IK Single> setting requires a child Bone.,<IK Single>은 자식 본을 필요로 합니다.,,,,,,,,
PhysicPreset_Regist_Title,52,Register with Preset,프리셋으로 등록,,,,,,,,
PhysicPreset_Regist_Body,53,Do you want to register [ {0} ] as a preset?,선택된 설정 [ {0} ]을 프리셋으로 등록하시겠습니까?,,,,,,,,
PhysicPreset_Regist_Okay,54,Regist,등록,,,,,,,,
PhysicPreset_Remove_Title,55,Remove Preset,프리셋 삭제,,,,,,,,
PhysicPreset_Remove_Body,56,Do you want to remove the selected preset [ {0} ]?,선택한 프리셋 [ {0} ]을 삭제하시겠습니까?,,,,,,,,
ResetPSDImport_Title,57,Reset PSD Import settings,PSD 불러오기 설정 초기화,,,,,,,,
ResetPSDImport_Body,58,Are you sure you want to reset the PSD import process? (The data is not saved.),PSD 불러오기 과정을 초기화하시겠습니까? (데이터는 저장되지 않습니다.),,,,,,,,
ResetPSDImport_Okay,59,Reset,초기화,,,,,,,,
ClosePSDImport_Title,60,Close PSD import window,PSD 불러오기 설정 닫기,,,,,,,,
ClosePSDImport_Body,61,Are you sure you want to cancel the PSD import? (The data is not saved.),PSD 불러오기를 취소하시겠습니까? 데이터는 저장되지 않습니다.,,,,,,,,
MeshEditChanged_Title,62,Mesh creation work is incomplete,미완료된 메시 수정 작업,,,,,,,,
MeshEditChanged_Body,63,Mesh creation work is not complete. Do you want to create Polygons?,메시 수정 작업이 완료되지 않았습니다. 폴리곤을 생성할까요?,,,,,,,,
MeshEditChanged_Okay,64,Make Polygons,폴리곤 생성,,,,,,,,
ControlParamDefaultAll_Title,65,Set to default,기본값으로 변경,,,,,,,,
ControlParamDefaultAll_Body,66,Do you want to change all Control Parameter values to their default values?,모든 컨트롤 파라미터의 값을 기본값으로 변경할까요?,,,,,,,,
ControlParamDefaultAll_Okay,67,Set all values to default,기본값으로 변경,,,,,,,,
RemoveRecordKey_Title,68,Remove Record Key,레코드 키 삭제,,,,,,,,
RemoveRecordKey_Body,69,Remove Record Key?,레코드 키를 삭제하시겠습니까?,,,,,,,,
AdaptFFDTransformEdit_Title,70,Apply FFD Transformation,FFD 작업을 적용,,,,,,,,
AdaptFFDTransformEdit_Body,71,Apply changed FFD Transformation?,변경된 FFD 작업을 적용하시겠습니까?,,,,,,,,
AdaptFFDTransformEdit_Okay,72,Apply,적용,,,,,,,,
AdaptFFDTransformEdit_No,73,Revert,되돌리기,,,,,,,,
RemoveImage_Title,74,Remove Image,이미지 삭제,,,,,,,,
RemoveImage_Body,75,Do you want to remove Image [ {0} ]?,이미지 [ {0} ]를 삭제하시겠습니까?,,,,,,,,
RemoveAnimClip_Title,76,Remove Animation Clip,애니메이션 클립 삭제,,,,,,,,
RemoveAnimClip_Body,77,Do you want to remove Animation Clip [ {0} ]?,애니메이션 클립 [ {0} ]을 삭제하시겠습니까?,,,,,,,,
AnimClipMeshGroupChanged_Title,78,Another MeshGroup is already connected,다른 메시 그룹이 이미 연결됨,,,,,,,,
AnimClipMeshGroupChanged_Body,79,This is different from existing Mesh Group. Do you want to ignore this warning and connect selected Mesh Group?,기존에 연결된 메시 그룹과 다릅니다. 이 경고를 무시하고 선택된 메시 그룹을 연결하시겠습니까?,,,,,,,,
RemoveControlParam_Title,80,Remove Control Parameter,컨트롤 파라미터 삭제,,,,,,,,
RemoveControlParam_Body,81,If you remove this[c] data from other modifiers may not work properly. Are you sure you want to remove this Parameter [ {0} ]?,컨트롤 파라미터를 삭제하면 다른 모디파이어가 정상적으로 작동하지 않을 수 있습니다. 컨트롤 파라미터 [ {0} ]를 삭제하시겠습니까?,,,,,,,,
ResetMeshVertices_Title,82,Reset Vertices,버텍스 리셋,,,,,,,,
ResetMeshVertices_Body,83,Do you want to reset all the vertices and make them the default shape?,모든 버텍스들을 초기화하여 기본 사각형 메시로 만드시겠습니까?,,,,,,,,
ResetMeshVertices_Okay,84,Reset,리셋,,,,,,,,
RemoveMesh_Title,85,Remove Mesh,메시 삭제,,,,,,,,
RemoveMesh_Body,86,Do you want to remove Mesh [ {0} ]?,메시 [ {0} ]를 삭제하시겠습니까?,,,,,,,,
RemoveMeshVertices_Title,87,Remove All Vertices,모든 버텍스 삭제,,,,,,,,
RemoveMeshVertices_Body,88,Do you want to remove all Vertices of Mesh?,메시의 모든 버텍스들을 삭제하시겠습니까?,,,,,,,,
RemoveMeshVertices_Okay,89,Remove All,삭제,,,,,,,,
RemoveMeshGroup_Title,90,Remove Mesh Group,메시 그룹 삭제,,,,,,,,
RemoveMeshGroup_Body,91,Do you want to remove Mesh Group [ {0} ]?,메시 그룹 [ {0} ]을 삭제하시겠습니까?,,,,,,,,
RemoveBonesAll_Title,92,Remove All Bones,모든 본 삭제,,,,,,,,
RemoveBonesAll_Body,93,Do you want to remove all Bones of Mesh Group?,모든 본을 삭제하시겠습니까?,,,,,,,,
RemoveKeyframes_Title,94,Remove Keyframes,키프레임 삭제,,,,,,,,
RemoveKeyframes_Body,95,Do you want to remove {0}s Keyframes?,{0}개의 키프레임을 삭제하시겠습니까?,,,,,,,,
DetachChildBone_Title,96,Detach Child Bone,자식 본 분리,,,,,,,,
DetachChildBone_Body,97,Do you want to detach the Child Bone [ {0} ]?,자식 본 [ {0} ]을 분리하시겠습니까?,,,,,,,,
RemoveModifier_Title,98,Remove Modifier,모디파이어 삭제,,,,,,,,
RemoveModifier_Body,99,Do you want to remove Modifier [ {0} ]?,모디파이어 [ {0} ]를 삭제하시겠습니까?,,,,,,,,
RemoveFromKeys_Title,100,Remove from Modifier Keys,모디파이어 키에서 제거,,,,,,,,
RemoveFromKeys_Body,101,Do you want to remove [ {0} ] from Keys of Modifier?,선택된 객체 [ {0} ]를 모디파이어의 키로부터 제거하시겠습니까?,,,,,,,,
RemoveFromRigging_Title,102,Remove from Rigging,리깅에서 제거,,,,,,,,
RemoveFromRigging_Body,103,Do you want to remove [ {0} ] from Rigging of Modifier?,선택된 객체 [ {0} ]를 리깅 모디파이어로부터 제거하시겠습니까?,,,,,,,,
RemoveFromPhysics_Title,104,Remove from Physics,물리로부터 제거,,,,,,,,
RemoveFromPhysics_Body,105,Do you want to remove [ {0} ] from Physics of Modifier?,선택된 객체 [ {0} ]를 물리 모디파이어로부터 제거하시겠습니까?,,,,,,,,
AddAllObjects2Timeline_Title,106,Add to Timelines,타임라인에 추가,,,,,,,,
AddAllObjects2Timeline_Body,107,Do you want to add all [ {0} ] to Timeline Layers?,모든 {0}들을 타임라인 레이어에 추가하시겠습니까?,,,,,,,,
RemoveTimeline_Title,108,Remove Animation Timeline,애니메이션 타임라인 삭제,,,,,,,,
RemoveTimeline_Body,109,Do you want to remove Timeline [ {0} ]?,타임타임 [ {0} ]을 삭제하시겠습니까?,,,,,,,,
RemoveTimelineLayer_Title,110,Remove Animation Timeline Layer,애니메이션 타임라인 레이어 삭제,,,,,,,,
RemoveTimelineLayer_Body,111,Do you want to remove Timeline Layer [ {0} ]?,타임타임 레이어 [ {0} ]를 삭제하시겠습니까?,,,,,,,,
DemoLimitation_Title,112,Demo Limitation,데모 기능 제한,,,,,,,,
DemoLimitation_Body,113,This feature does not run in the demo version.,이 기능은 데모 버전에서 실행되지 않습니다.,,,,,,,,
DemoLimitation_Body_AddParam,114,In the demo version[c] you can not add more than 2 Parameters.,데모 버전에서는 3개 이상의 파라미터를 추가할 수 없습니다.,,,,,,,,
DemoLimitation_Body_AddAnimation,115,In the demo version[c] you can not add more than 2 Animations.,데모 버전에서는 3개 이상의 애니메이션을 추가할 수 없습니다.,,,,,,,,
